Symbol, lastsale, netchange
ATVI,23.455,-0.085
ADBE,78.07,0.39
AKAM,69.45,-0.67
ALXN,184.9,2.61
ALTR,36.72,-0.08
AMZN,385.37,6.78
AAL,49.73,-1.79
AMGN,158.08,0.71
ADI,58.99,-0.22
AAPL,128.79,-3.38
AMAT,25.1,-0.26
ADSK,62.01,-0.06
ADP,89.07,-0.19
AVGO,112.68,-0.5
BIDU,203.53,-4.53
BBBY,74.87,-1.29
BIIB,408.94,4.05
BRCM,45,-0.31
CHRW,73.55,-0.43
CA,33.11,0.41
CTRX,52.78,-0.2
CELG,123.1,-0.08
CERN,72.69,-0.09
CHTR,182.21,4.44
CHKP,83.38,0.54
CSCO,29.49,-0.14
CTXS,64.13,0.48
CTSH,62.65,0.2
CMCSA,59.62,0.45
CMCSK,59.14,0.36
COST,147.48,-0.73
DTV,87.98,0.52
DISCA,32.94,-0.06
DISCK,31.38,0.67
DISH,77.285,-0.485
DLTR,79.16,1.69
EBAY,58.35,-0.05
EA,57.39,-0.235
EQIX,228.39,-3.78
EXPD,48.16,0.285
ESRX,85.09,-2.53
FB,79.56,1.11
FAST,42.43,0.33
FISV,78.9,-0.14
GRMN,49.45,-0.15
GILD,104.43,-0.27
GOOG,543.87,7.78
GOOGL,547.33,8.68
HSIC,141.01,-0.38
ILMN,196.22,-3.48
INTC,33.945,-0.465
INTU,97.64,0.265
ISRG,507.66,-4.21
GMCR,124.1,-1.29
KLAC,65.88,-0.4
KRFT,63.97,-0.11
LRCX,83.53,-0.7
LBTYA,54.49,1.14
LBTYK,52.33,0.95
LVNTA,40.39,-0.08
QVCA,29.11,0.04
LMCA,38.71,-0.1
LMCK,38.8,0
LLTC,48.48,-0.095
MAR,82.36,0.315
MAT,25.92,0.605
MU,30.48,-0.29
MSFT,43.99,-0.1
MDLZ,36.66,-0.345
MNST,123.79,-1.015
MYL,56.5,-0.715
NTAP,38.62,0.05
NFLX,478.33,3.45
NVDA,22.14,-0.17
NXPI,84.895,-1.015
ORLY,208.69,1.15
PCAR,64.605,0.815
PAYX,49.92,-0.045
QCOM,71.68,0.31
REGN,423.04,2.4
ROST,98.46,0.39
SNDK,79.04,-0.93
SBAC,119.75,1.94
STX,60.02,-0.68
SIAL,138.07,-0.01
SIRI,3.88,-0.03
SPLS,16.64,-0.18
SBUX,94.26,0.81
SRCL,135.4,0.83
SYMC,25.49,0.28
TSLA,203.76,-0.35
TXN,59.1,0.14
PCLN,1250.86,31.07
TSCO,89.975,0.915
TRIP,89.17,0.67
FOX,33.96,-0.1
FOXA,34.9,-0.34
VRSK,72.18,4.27
VRTX,118.84,1.92
VIAB,70.35,-0.58
VIP,5.13,0.32
VOD,34.605,-0.205
WDC,106.15,-2.82
WFM,56.89,0.21
WYNN,143.05,-3.95
XLNX,42.05,-0.43
YHOO,44.43,1.05
